"confCase","confCaseRate","createDt","criticalRate","death","deathRate","gubun","seq","updateDt"
"1927","3.39",2020-12-27,"0","0","0.00","0-9","5697","null"
"3544","6.23",2020-12-27,"0","0","0.00","10-19","5696","null"
"9281","16.32",2020-12-27,"0","0","0.00","20-29","5695","null"
"7226","12.71",2020-12-27,"0.04","3","0.37","30-39","5694","null"
"8033","14.12",2020-12-27,"0.09","7","0.87","40-49","5693","null"
"10648","18.72",2020-12-27,"0.28","30","3.71","50-59","5692","null"
"8939","15.72",2020-12-27,"1.05","94","11.63","60-69","5691","null"
"4472","7.86",2020-12-27,"5.28","236","29.21","70-79","5690","null"
"2802","4.93",2020-12-27,"15.63","438","54.21","80 이상","5689","null"
"29301","51.52",2020-12-27,"1.35","397","49.13","여성","5688","null"
"27571","48.48",2020-12-27,"1.49","411","50.87","남성","5687","null"
"1891","3.38",2020-12-26,"0","0","0.00","0-9","5675","null"
"3483","6.23",2020-12-26,"0","0","0.00","10-19","5674","null"
"9170","16.4",2020-12-26,"0","0","0.00","20-29","5673","null"
"7095","12.69",2020-12-26,"0.04","3","0.38","30-39","5672","null"
"7874","14.09",2020-12-26,"0.09","7","0.88","40-49","5671","null"
"10457","18.71",2020-12-26,"0.29","30","3.78","50-59","5670","null"
"8760","15.67",2020-12-26,"1.05","92","11.60","60-69","5669","null"
"4411","7.89",2020-12-26,"5.3","234","29.51","70-79","5668","null"
"2761","4.94",2020-12-26,"15.47","427","53.85","80 이상","5667","null"
"28802","51.52",2020-12-26,"1.35","389","49.05","여성","5666","null"
"27100","48.48",2020-12-26,"1.49","404","50.95","남성","5665","null"
"1844","3.37",2020-12-25,"0","0","0.00","0-9","5653","null"
"3403","6.21",2020-12-25,"0","0","0.00","10-19","5652","null"
"9042","16.51",2020-12-25,"0","0","0.00","20-29","5651","null"
"6948","12.69",2020-12-25,"0.04","3","0.39","30-39","5650","null"
"7695","14.05",2020-12-25,"0.09","7","0.91","40-49","5649","null"
"10248","18.71",2020-12-25,"0.29","30","3.88","50-59","5648","null"
"8589","15.68",2020-12-25,"1.05","90","11.64","60-69","5647","null"
"4321","7.89",2020-12-25,"5.25","227","29.37","70-79","5646","null"
"2680","4.89",2020-12-25,"15.52","416","53.82","80 이상","5645","null"
"28235","51.55",2020-12-25,"1.36","383","49.55","여성","5644","null"
"26535","48.45",2020-12-25,"1.47","390","50.45","남성","5643","null"
"1797","3.36",2020-12-24,"0","0","0.00","0-9","5631","null"
"3337","6.23",2020-12-24,"0","0","0.00","10-19","5630","null"
"8886","16.6",2020-12-24,"0","0","0.00","20-29","5629","null"
"6778","12.66",2020-12-24,"0.04","3","0.40","30-39","5628","null"
"7499","14.01",2020-12-24,"0.08","6","0.79","40-49","5627","null"
"10010","18.7",2020-12-24,"0.29","29","3.84","50-59","5626","null"
"8375","15.64",2020-12-24,"1.07","90","11.90","60-69","5625","null"
"4235","7.91",2020-12-24,"5.29","224","29.63","70-79","5624","null"
"2616","4.89",2020-12-24,"15.44","404","53.44","80 이상","5623","null"
"27768","51.87",2020-12-24,"1.35","376","49.74","여성","5622","null"
"25765","48.13",2020-12-24,"1.47","380","50.26","남성","5621","null"
"1715","3.33",2020-12-22,"0","0","0.00","0-9","5587","null"
"3206","6.23",2020-12-22,"0","0","0.00","10-19","5586","null"
"8657","16.82",2020-12-22,"0","0","0.00","20-29","5585","null"
"6518","12.67",2020-12-22,"0.06","4","0.55","30-39","5584","null"
"7223","14.04",2020-12-22,"0.08","6","0.83","40-49","5583","null"
"9582","18.62",2020-12-22,"0.3","29","4.02","50-59","5582","null"
"8015","15.58",2020-12-22,"1.1","88","12.19","60-69","5581","null"
"4065","7.9",2020-12-22,"5.19","211","29.22","70-79","5580","null"
"2479","4.82",2020-12-22,"15.49","384","53.19","80 이상","5579","null"
"26708","51.9",2020-12-22,"1.34","357","49.45","여성","5578","null"
"24752","48.1",2020-12-22,"1.47","365","50.55","남성","5577","null"
"1684","3.33",2020-12-21,"0","0","0.00","0-9","5565","null"
"3150","6.23",2020-12-21,"0","0","0.00","10-19","5564","null"
"8552","16.9",2020-12-21,"0","0","0.00","20-29","5563","null"
"6414","12.68",2020-12-21,"0.05","3","0.43","30-39","5562","null"
"7099","14.03",2020-12-21,"0.08","6","0.86","40-49","5561","null"
"9402","18.58",2020-12-21,"0.31","29","4.15","50-59","5560","null"
"7883","15.58",2020-12-21,"1.07","84","12.03","60-69","5559","null"
"3979","7.87",2020-12-21,"5.13","204","29.23","70-79","5558","null"
"2428","4.8",2020-12-21,"15.32","372","53.30","80 이상","5557","null"
"26262","51.91",2020-12-21,"1.29","340","48.71","여성","5556","null"
"24329","48.09",2020-12-21,"1.47","358","51.29","남성","5555","null"
"1638","3.3",2020-12-20,"0","0","0.00","0-9","5543","null"
"3105","6.25",2020-12-20,"0","0","0.00","10-19","5542","null"
"8455","17.02",2020-12-20,"0","0","0.00","20-29","5541","null"
"6297","12.68",2020-12-20,"0.03","2","0.30","30-39","5540","null"
"6975","14.04",2020-12-20,"0.09","6","0.89","40-49","5539","null"
"9207","18.54",2020-12-20,"0.3","28","4.15","50-59","5538","null"
"7722","15.55",2020-12-20,"1.05","81","12.02","60-69","5537","null"
"3892","7.84",2020-12-20,"5.14","200","29.67","70-79","5536","null"
"2374","4.78",2020-12-20,"15.04","357","52.97","80 이상","5535","null"
"25797","51.94",2020-12-20,"1.28","329","48.81","여성","5534","null"
"23868","48.06",2020-12-20,"1.45","345","51.19","남성","5533","null"
"1591","3.28",2020-12-19,"0","0","0.00","0-9","5532","null"
"3035","6.25",2020-12-19,"0","0","0.00","10-19","5531","null"
"8318","17.13",2020-12-19,"0","0","0.00","20-29","5530","null"
"6155","12.67",2020-12-19,"0.03","2","0.30","30-39","5529","null"
"6823","14.05",2020-12-19,"0.09","6","0.91","40-49","5528","null"
"8974","18.48",2020-12-19,"0.31","28","4.25","50-59","5527","null"
"7534","15.51",2020-12-19,"1.02","77","11.68","60-69","5526","null"
"3813","7.85",2020-12-19,"5.22","199","30.20","70-79","5525","null"
"2327","4.79",2020-12-19,"14.91","347","52.66","80 이상","5524","null"
"25325","52.14",2020-12-19,"1.26","320","48.56","여성","5523","null"
"23245","47.86",2020-12-19,"1.46","339","51.44","남성","5522","null"
"1558","3.28",2020-12-18,"0","0","0.00","0-9","5499","null"
"2969","6.25",2020-12-18,"0","0","0.00","10-19","5498","null"
"8183","17.22",2020-12-18,"0","0","0.00","20-29","5497","null"
"6044","12.72",2020-12-18,"0.03","2","0.31","30-39","5496","null"
"6669","14.04",2020-12-18,"0.09","6","0.93","40-49","5495","null"
"8754","18.42",2020-12-18,"0.3","26","4.03","50-59","5494","null"
"7358","15.49",2020-12-18,"1.05","77","11.94","60-69","5493","null"
"3730","7.85",2020-12-18,"5.28","197","30.54","70-79","5492","null"
"2250","4.74",2020-12-18,"14.98","337","52.25","80 이상","5491","null"
"24744","52.08",2020-12-18,"1.25","309","47.91","여성","5490","null"
"22771","47.92",2020-12-18,"1.48","336","52.09","남성","5489","null"
"1518","3.27",2020-12-17,"0","0","0.00","0-9","5477","null"
"2903","6.25",2020-12-17,"0","0","0.00","10-19","5476","null"
"8060","17.35",2020-12-17,"0","0","0.00","20-29","5475","null"
"5912","12.73",2020-12-17,"0.03","2","0.32","30-39","5474","null"
"6535","14.07",2020-12-17,"0.09","6","0.95","40-49","5473","null"
"8529","18.36",2020-12-17,"0.3","26","4.10","50-59","5472","null"
"7172","15.44",2020-12-17,"1.07","77","12.15","60-69","5471","null"
"3640","7.84",2020-12-17,"5.33","194","30.60","70-79","5470","null"
"2184","4.7",2020-12-17,"15.06","329","51.89","80 이상","5469","null"
"24166","52.02",2020-12-17,"1.25","303","47.79","여성","5468","null"
"22287","47.98",2020-12-17,"1.49","331","52.21","남성","5467","null"
"1462","3.22",2020-12-16,"0","0","0.00","0-9","5455","null"
"2849","6.27",2020-12-16,"0","0","0.00","10-19","5454","null"
"7953","17.5",2020-12-16,"0","0","0.00","20-29","5453","null"
"5790","12.74",2020-12-16,"0.03","2","0.33","30-39","5452","null"
"6394","14.07",2020-12-16,"0.09","6","0.98","40-49","5451","null"
"8315","18.3",2020-12-16,"0.3","25","4.08","50-59","5450","null"
"6999","15.4",2020-12-16,"1.06","74","12.09","60-69","5449","null"
"3555","7.82",2020-12-16,"5.34","190","31.05","70-79","5448","null"
"2125","4.68",2020-12-16,"14.82","315","51.47","80 이상","5447","null"
"23628","52",2020-12-16,"1.25","295","48.20","여성","5446","null"
"21814","48",2020-12-16,"1.45","317","51.80","남성","5445","null"
"1417","3.19",2020-12-15,"0","0","0.00","0-9","5433","null"
"2780","6.27",2020-12-15,"0","0","0.00","10-19","5432","null"
"7800","17.58",2020-12-15,"0","0","0.00","20-29","5431","null"
"5686","12.82",2020-12-15,"0.04","2","0.33","30-39","5430","null"
"6252","14.09",2020-12-15,"0.08","5","0.83","40-49","5429","null"
"8100","18.26",2020-12-15,"0.31","25","4.17","50-59","5428","null"
"6808","15.35",2020-12-15,"1.09","74","12.33","60-69","5427","null"
"3464","7.81",2020-12-15,"5.34","185","30.83","70-79","5426","null"
"2057","4.64",2020-12-15,"15.02","309","51.50","80 이상","5425","null"
"23106","52.08",2020-12-15,"1.26","292","48.67","여성","5424","null"
"21258","47.92",2020-12-15,"1.45","308","51.33","남성","5423","null"
"1377","3.17",2020-12-14,"0","0","0.00","0-9","5411","null"
"2726","6.27",2020-12-14,"0","0","0.00","10-19","5410","null"
"7700","17.71",2020-12-14,"0","0","0.00","20-29","5409","null"
"5573","12.82",2020-12-14,"0.04","2","0.34","30-39","5408","null"
"6127","14.09",2020-12-14,"0.08","5","0.85","40-49","5407","null"
"7949","18.28",2020-12-14,"0.31","25","4.26","50-59","5406","null"
"6676","15.35",2020-12-14,"1.08","72","12.27","60-69","5405","null"
"3385","7.78",2020-12-14,"5.41","183","31.18","70-79","5404","null"
"1971","4.53",2020-12-14,"15.22","300","51.11","80 이상","5403","null"
"22641","52.07",2020-12-14,"1.26","285","48.55","여성","5402","null"
"20843","47.93",2020-12-14,"1.45","302","51.45","남성","5401","null"
"1346","3.15",2020-12-13,"0","0","0.00","0-9","5389","null"
"2672","6.25",2020-12-13,"0","0","0.00","10-19","5388","null"
"7602","17.78",2020-12-13,"0","0","0.00","20-29","5387","null"
"5500","12.86",2020-12-13,"0.04","2","0.34","30-39","5386","null"
"6006","14.04",2020-12-13,"0.08","5","0.86","40-49","5385","null"
"7811","18.26",2020-12-13,"0.32","25","4.31","50-59","5384","null"
"6568","15.36",2020-12-13,"1.07","70","12.07","60-69","5383","null"
"3336","7.8",2020-12-13,"5.4","180","31.03","70-79","5382","null"
"1925","4.5",2020-12-13,"15.48","298","51.38","80 이상","5381","null"
"22253","52.03",2020-12-13,"1.27","283","48.79","여성","5380","null"
"20513","47.97",2020-12-13,"1.45","297","51.21","남성","5379","null"
"1310","3.14",2020-12-12,"0","0","0.00","0-9","5367","null"
"2598","6.22",2020-12-12,"0","0","0.00","10-19","5366","null"
"7492","17.95",2020-12-12,"0","0","0.00","20-29","5365","null"
"5391","12.92",2020-12-12,"0.04","2","0.35","30-39","5364","null"
"5856","14.03",2020-12-12,"0.09","5","0.87","40-49","5363","null"
"7619","18.26",2020-12-12,"0.33","25","4.33","50-59","5362","null"
"6385","15.3",2020-12-12,"1.06","68","11.76","60-69","5361","null"
"3231","7.74",2020-12-12,"5.57","180","31.14","70-79","5360","null"
"1854","4.44",2020-12-12,"16.07","298","51.56","80 이상","5359","null"
"21707","52.01",2020-12-12,"1.3","283","48.96","여성","5358","null"
"20029","47.99",2020-12-12,"1.47","295","51.04","남성","5357","null"
"1258","3.08",2020-12-11,"0","0","0.00","0-9","5345","null"
"2512","6.16",2020-12-11,"0","0","0.00","10-19","5344","null"
"7395","18.13",2020-12-11,"0","0","0.00","20-29","5343","null"
"5277","12.94",2020-12-11,"0.04","2","0.35","30-39","5342","null"
"5714","14.01",2020-12-11,"0.09","5","0.87","40-49","5341","null"
"7445","18.25",2020-12-11,"0.34","25","4.37","50-59","5340","null"
"6237","15.29",2020-12-11,"1.09","68","11.89","60-69","5339","null"
"3162","7.75",2020-12-11,"5.63","178","31.12","70-79","5338","null"
"1786","4.38",2020-12-11,"16.46","294","51.40","80 이상","5337","null"
"21193","51.96",2020-12-11,"1.32","280","48.95","여성","5336","null"
"19593","48.04",2020-12-11,"1.49","292","51.05","남성","5335","null"
"1223","3.05",2020-12-10,"0","0","0.00","0-9","5323","null"
"2466","6.15",2020-12-10,"0","0","0.00","10-19","5322","null"
"7310","18.23",2020-12-10,"0","0","0.00","20-29","5321","null"
"5196","12.96",2020-12-10,"0.04","2","0.35","30-39","5320","null"
"5615","14",2020-12-10,"0.09","5","0.89","40-49","5319","null"
"7320","18.26",2020-12-10,"0.34","25","4.43","50-59","5318","null"
"6137","15.31",2020-12-10,"1.06","65","11.52","60-69","5317","null"
"3100","7.73",2020-12-10,"5.71","177","31.38","70-79","5316","null"
"1731","4.32",2020-12-10,"16.75","290","51.42","80 이상","5315","null"
"20841","51.98",2020-12-10,"1.32","275","48.76","여성","5314","null"
"19257","48.02",2020-12-10,"1.5","289","51.24","남성","5313","null"
"1186","3.01",2020-12-09,"0","0","0.00","0-9","5301","null"
"2416","6.13",2020-12-09,"0","0","0.00","10-19","5300","null"
"7230","18.34",2020-12-09,"0","0","0.00","20-29","5299","null"
"5087","12.9",2020-12-09,"0.04","2","0.36","30-39","5298","null"
"5524","14.01",2020-12-09,"0.09","5","0.90","40-49","5297","null"
"7214","18.29",2020-12-09,"0.35","25","4.50","50-59","5296","null"
"6024","15.28",2020-12-09,"1.08","65","11.69","60-69","5295","null"
"3050","7.73",2020-12-09,"5.74","175","31.47","70-79","5294","null"
"1701","4.31",2020-12-09,"16.7","284","51.08","80 이상","5293","null"
"20518","52.03",2020-12-09,"1.31","269","48.38","여성","5292","null"
"18914","47.97",2020-12-09,"1.52","287","51.62","남성","5291","null"
"1162","3",2020-12-08,"0","0","0.00","0-9","5268","null"
"2373","6.12",2020-12-08,"0","0","0.00","10-19","5267","null"
"7167","18.49",2020-12-08,"0","0","0.00","20-29","5266","null"
"4992","12.88",2020-12-08,"0.04","2","0.36","30-39","5265","null"
"5428","14.01",2020-12-08,"0.09","5","0.91","40-49","5264","null"
"7089","18.29",2020-12-08,"0.35","25","4.53","50-59","5263","null"
"5899","15.22",2020-12-08,"1.08","64","11.59","60-69","5262","null"
"2976","7.68",2020-12-08,"5.85","174","31.52","70-79","5261","null"
"1669","4.31",2020-12-08,"16.9","282","51.09","80 이상","5260","null"
"20176","52.06",2020-12-08,"1.32","267","48.37","여성","5259","null"
"18579","47.94",2020-12-08,"1.53","285","51.63","남성","5258","null"
"1142","2.99",2020-12-07,"0","0","0.00","0-9","5246","null"
"2340","6.13",2020-12-07,"0","0","0.00","10-19","5245","null"
"7093","18.59",2020-12-07,"0","0","0.00","20-29","5244","null"
"4917","12.88",2020-12-07,"0.04","2","0.36","30-39","5243","null"
"5346","14.01",2020-12-07,"0.09","5","0.91","40-49","5242","null"
"6980","18.29",2020-12-07,"0.34","24","4.37","50-59","5241","null"
"5808","15.22",2020-12-07,"1.1","64","11.66","60-69","5240","null"
"2919","7.65",2020-12-07,"5.96","174","31.69","70-79","5239","null"
"1616","4.23",2020-12-07,"17.33","280","51.00","80 이상","5238","null"
"19856","52.03",2020-12-07,"1.33","265","48.27","여성","5237","null"
"18305","47.97",2020-12-07,"1.55","284","51.73","남성","5236","null"
"1128","3",2020-12-06,"0","0","0.00","0-9","5235","null"
"2309","6.15",2020-12-06,"0","0","0.00","10-19","5234","null"
"7009","18.67",2020-12-06,"0","0","0.00","20-29","5233","null"
"4842","12.9",2020-12-06,"0.04","2","0.37","30-39","5232","null"
"5272","14.04",2020-12-06,"0.09","5","0.92","40-49","5231","null"
"6841","18.22",2020-12-06,"0.35","24","4.40","50-59","5230","null"
"5709","15.21",2020-12-06,"1.12","64","11.74","60-69","5229","null"
"2860","7.62",2020-12-06,"6.05","173","31.74","70-79","5228","null"
"1576","4.2",2020-12-06,"17.58","277","50.83","80 이상","5227","null"
"19539","52.04",2020-12-06,"1.35","263","48.26","여성","5226","null"
"18007","47.96",2020-12-06,"1.57","282","51.74","남성","5225","null"
"1106","3",2020-12-05,"0","0","0.00","0-9","5202","null"
"2279","6.17",2020-12-05,"0","0","0.00","10-19","5201","null"
"6937","18.79",2020-12-05,"0","0","0.00","20-29","5200","null"
"4752","12.87",2020-12-05,"0.04","2","0.37","30-39","5199","null"
"5199","14.08",2020-12-05,"0.1","5","0.93","40-49","5198","null"
"6718","18.2",2020-12-05,"0.36","24","4.44","50-59","5197","null"
"5598","15.16",2020-12-05,"1.14","64","11.85","60-69","5196","null"
"2792","7.56",2020-12-05,"6.2","173","32.04","70-79","5195","null"
"1534","4.16",2020-12-05,"17.73","272","50.37","80 이상","5194","null"
"19247","52.14",2020-12-05,"1.35","260","48.15","여성","5193","null"
"17668","47.86",2020-12-05,"1.58","280","51.85","남성","5192","null"
"1083","2.98",2020-12-04,"0","0","0.00","0-9","5180","null"
"2227","6.13",2020-12-04,"0","0","0.00","10-19","5179","null"
"6837","18.82",2020-12-04,"0","0","0.00","20-29","5178","null"
"4686","12.9",2020-12-04,"0.04","2","0.37","30-39","5177","null"
"5121","14.1",2020-12-04,"0.1","5","0.93","40-49","5176","null"
"6625","18.23",2020-12-04,"0.36","24","4.48","50-59","5175","null"
"5508","15.16",2020-12-04,"1.16","64","11.94","60-69","5174","null"
"2742","7.55",2020-12-04,"6.31","173","32.28","70-79","5173","null"
"1503","4.14",2020-12-04,"17.83","268","50.00","80 이상","5172","null"
"18952","52.16",2020-12-04,"1.36","257","47.95","여성","5171","null"
"17380","47.84",2020-12-04,"1.61","279","52.05","남성","5170","null"
"1058","2.96",2020-12-03,"0","0","0.00","0-9","5158","null"
"2181","6.11",2020-12-03,"0","0","0.00","10-19","5157","null"
"6737","18.87",2020-12-03,"0","0","0.00","20-29","5156","null"
"4604","12.9",2020-12-03,"0.04","2","0.38","30-39","5155","null"
"5032","14.09",2020-12-03,"0.1","5","0.95","40-49","5154","null"
"6506","18.22",2020-12-03,"0.37","24","4.54","50-59","5153","null"
"5415","15.17",2020-12-03,"1.18","64","12.10","60-69","5152","null"
"2699","7.56",2020-12-03,"6.34","171","32.33","70-79","5151","null"
"1471","4.12",2020-12-03,"17.88","263","49.72","80 이상","5150","null"
"18611","52.13",2020-12-03,"1.36","253","47.83","여성","5149","null"
"17092","47.87",2020-12-03,"1.61","276","52.17","남성","5148","null"
"1027","2.92",2020-12-02,"0","0","0.00","0-9","5136","null"
"2140","6.09",2020-12-02,"0","0","0.00","10-19","5135","null"
"6633","18.86",2020-12-02,"0","0","0.00","20-29","5134","null"
"4536","12.9",2020-12-02,"0.04","2","0.38","30-39","5133","null"
"4939","14.05",2020-12-02,"0.08","4","0.76","40-49","5132","null"
"6411","18.23",2020-12-02,"0.37","24","4.56","50-59","5131","null"
"5340","15.19",2020-12-02,"1.2","64","12.17","60-69","5130","null"
"2672","7.6",2020-12-02,"6.32","169","32.13","70-79","5129","null"
"1465","4.17",2020-12-02,"17.95","263","50.00","80 이상","5128","null"
"18344","52.17",2020-12-02,"1.37","251","47.72","여성","5127","null"
"16819","47.83",2020-12-02,"1.64","275","52.28","남성","5126","null"
"1008","2.91",2020-12-01,"0","0","0.00","0-9","5114","null"
"2097","6.05",2020-12-01,"0","0","0.00","10-19","5113","null"
"6548","18.9",2020-12-01,"0","0","0.00","20-29","5112","null"
"4447","12.83",2020-12-01,"0.04","2","0.38","30-39","5111","null"
"4860","14.03",2020-12-01,"0.08","4","0.76","40-49","5110","null"
"6312","18.22",2020-12-01,"0.38","24","4.56","50-59","5109","null"
"5283","15.25",2020-12-01,"1.21","64","12.17","60-69","5108","null"
"2649","7.64",2020-12-01,"6.38","169","32.13","70-79","5107","null"
"1448","4.18",2020-12-01,"18.16","263","50.00","80 이상","5106","null"
"18095","52.22",2020-12-01,"1.39","251","47.72","여성","5105","null"
"16557","47.78",2020-12-01,"1.66","275","52.28","남성","5104","null"
"993","2.9",2020-11-30,"0","0","0.00","0-9","5092","null"
"2050","5.99",2020-11-30,"0","0","0.00","10-19","5091","null"
"6466","18.91",2020-11-30,"0","0","0.00","20-29","5090","null"
"4381","12.81",2020-11-30,"0.05","2","0.38","30-39","5089","null"
"4797","14.03",2020-11-30,"0.08","4","0.76","40-49","5088","null"
"6218","18.18",2020-11-30,"0.39","24","4.56","50-59","5087","null"
"5240","15.32",2020-11-30,"1.22","64","12.17","60-69","5086","null"
"2622","7.67",2020-11-30,"6.45","169","32.13","70-79","5085","null"
"1434","4.19",2020-11-30,"18.34","263","50.00","80 이상","5084","null"
"17878","52.27",2020-11-30,"1.4","251","47.72","여성","5083","null"
"16323","47.73",2020-11-30,"1.68","275","52.28","남성","5082","null"
"977","2.89",2020-11-29,"0","0","0.00","0-9","5070","null"
"1996","5.9",2020-11-29,"0","0","0.00","10-19","5069","null"
"6412","18.96",2020-11-29,"0","0","0.00","20-29","5068","null"
"4349","12.86",2020-11-29,"0.05","2","0.38","30-39","5067","null"
"4759","14.07",2020-11-29,"0.08","4","0.76","40-49","5066","null"
"6142","18.16",2020-11-29,"0.39","24","4.59","50-59","5065","null"
"5183","15.32",2020-11-29,"1.22","63","12.05","60-69","5064","null"
"2598","7.68",2020-11-29,"6.47","168","32.12","70-79","5063","null"
"1408","4.16",2020-11-29,"18.61","262","50.10","80 이상","5062","null"
"17657","52.2",2020-11-29,"1.41","249","47.61","여성","5061","null"
"16167","47.8",2020-11-29,"1.69","274","52.39","남성","5060","null"
"959","2.87",2020-11-28,"0","0","0.00","0-9","5048","null"
"1959","5.87",2020-11-28,"0","0","0.00","10-19","5047","null"
"6319","18.93",2020-11-28,"0","0","0.00","20-29","5046","null"
"4284","12.84",2020-11-28,"0.05","2","0.38","30-39","5045","null"
"4690","14.05",2020-11-28,"0.09","4","0.77","40-49","5044","null"
"6060","18.16",2020-11-28,"0.4","24","4.60","50-59","5043","null"
"5137","15.39",2020-11-28,"1.23","63","12.07","60-69","5042","null"
"2572","7.71",2020-11-28,"6.49","167","31.99","70-79","5041","null"
"1395","4.18",2020-11-28,"18.78","262","50.19","80 이상","5040","null"
"17441","52.26",2020-11-28,"1.43","249","47.70","여성","5039","null"
"15934","47.74",2020-11-28,"1.71","273","52.30","남성","5038","null"
"946","2.88",2020-11-27,"0","0","0.00","0-9","5026","null"
"1922","5.84",2020-11-27,"0","0","0.00","10-19","5025","null"
"6251","19.01",2020-11-27,"0","0","0.00","20-29","5024","null"
"4212","12.81",2020-11-27,"0.05","2","0.39","30-39","5023","null"
"4598","13.98",2020-11-27,"0.09","4","0.78","40-49","5022","null"
"5982","18.19",2020-11-27,"0.4","24","4.65","50-59","5021","null"
"5055","15.37",2020-11-27,"1.23","62","12.02","60-69","5020","null"
"2542","7.73",2020-11-27,"6.57","167","32.36","70-79","5019","null"
"1379","4.19",2020-11-27,"18.64","257","49.81","80 이상","5018","null"
"17199","52.3",2020-11-27,"1.42","245","47.48","여성","5017","null"
"15688","47.7",2020-11-27,"1.73","271","52.52","남성","5016","null"
"925","2.86",2020-11-26,"0","0","0.00","0-9","5004","null"
"1882","5.82",2020-11-26,"0","0","0.00","10-19","5003","null"
"6165","19.08",2020-11-26,"0","0","0.00","20-29","5002","null"
"4127","12.77",2020-11-26,"0.05","2","0.39","30-39","5001","null"
"4499","13.92",2020-11-26,"0.09","4","0.78","40-49","5000","null"
"5865","18.15",2020-11-26,"0.41","24","4.66","50-59","4999","null"
"4987","15.43",2020-11-26,"1.24","62","12.04","60-69","4998","null"
"2515","7.78",2020-11-26,"6.64","167","32.43","70-79","4997","null"
"1353","4.19",2020-11-26,"18.92","256","49.71","80 이상","4996","null"
"16942","52.42",2020-11-26,"1.44","244","47.38","여성","4995","null"
"15376","47.58",2020-11-26,"1.76","271","52.62","남성","4994","null"
"904","2.85",2020-11-25,"0","0","0.00","0-9","4982","null"
"1825","5.75",2020-11-25,"0","0","0.00","10-19","4981","null"
"6040","19.03",2020-11-25,"0","0","0.00","20-29","4980","null"
"4044","12.74",2020-11-25,"0.05","2","0.39","30-39","4979","null"
"4406","13.88",2020-11-25,"0.09","4","0.78","40-49","4978","null"
"5770","18.18",2020-11-25,"0.42","24","4.68","50-59","4977","null"
"4915","15.49",2020-11-25,"1.26","62","12.09","60-69","4976","null"
"2487","7.84",2020-11-25,"6.63","165","32.16","70-79","4975","null"
"1344","4.24",2020-11-25,"19.05","256","49.90","80 이상","4974","null"
"16656","52.48",2020-11-25,"1.46","244","47.56","여성","4973","null"
"15079","47.52",2020-11-25,"1.78","269","52.44","남성","4972","null"
"893","2.85",2020-11-24,"0","0","0.00","0-9","4960","null"
"1794","5.72",2020-11-24,"0","0","0.00","10-19","4959","null"
"5988","19.1",2020-11-24,"0","0","0.00","20-29","4958","null"
"3983","12.7",2020-11-24,"0.05","2","0.39","30-39","4957","null"
"4331","13.81",2020-11-24,"0.09","4","0.78","40-49","4956","null"
"5698","18.17",2020-11-24,"0.42","24","4.71","50-59","4955","null"
"4869","15.53",2020-11-24,"1.25","61","11.96","60-69","4954","null"
"2463","7.86",2020-11-24,"6.62","163","31.96","70-79","4953","null"
"1334","4.25",2020-11-24,"19.19","256","50.20","80 이상","4952","null"
"16480","52.56",2020-11-24,"1.47","242","47.45","여성","4951","null"
"14873","47.44",2020-11-24,"1.8","268","52.55","남성","4950","null"
"877","2.83",2020-11-23,"0","0","0.00","0-9","4919","null"
"1776","5.73",2020-11-23,"0","0","0.00","10-19","4918","null"
"5921","19.1",2020-11-23,"0","0","0.00","20-29","4917","null"
"3930","12.68",2020-11-23,"0.05","2","0.39","30-39","4916","null"
"4271","13.78",2020-11-23,"0.09","4","0.79","40-49","4915","null"
"5638","18.18",2020-11-23,"0.43","24","4.72","50-59","4914","null"
"4826","15.57",2020-11-23,"1.26","61","11.98","60-69","4913","null"
"2438","7.86",2020-11-23,"6.69","163","32.02","70-79","4912","null"
"1327","4.28",2020-11-23,"19.22","255","50.10","80 이상","4911","null"
"16321","52.64",2020-11-23,"1.48","242","47.54","여성","4910","null"
"14683","47.36",2020-11-23,"1.82","267","52.46","남성","4909","null"
"854","2.78",2020-11-22,"0","0","0.00","0-9","4897","null"
"1755","5.71",2020-11-22,"0","0","0.00","10-19","4896","null"
"5880","19.13",2020-11-22,"0","0","0.00","20-29","4895","null"
"3889","12.65",2020-11-22,"0.05","2","0.40","30-39","4894","null"
"4222","13.74",2020-11-22,"0.09","4","0.79","40-49","4893","null"
"5588","18.18",2020-11-22,"0.41","23","4.55","50-59","4892","null"
"4806","15.64",2020-11-22,"1.27","61","12.08","60-69","4891","null"
"2421","7.88",2020-11-22,"6.65","161","31.88","70-79","4890","null"
"1318","4.29",2020-11-22,"19.27","254","50.30","80 이상","4889","null"
"16178","52.64",2020-11-22,"1.48","240","47.52","여성","4888","null"
"14555","47.36",2020-11-22,"1.82","265","52.48","남성","4887","null"
"837","2.75",2020-11-21,"0","0","0.00","0-9","4875","null"
"1735","5.71",2020-11-21,"0","0","0.00","10-19","4874","null"
"5815","19.13",2020-11-21,"0","0","0.00","20-29","4873","null"
"3842","12.64",2020-11-21,"0.05","2","0.40","30-39","4872","null"
"4158","13.68",2020-11-21,"0.1","4","0.80","40-49","4871","null"
"5532","18.2",2020-11-21,"0.42","23","4.57","50-59","4870","null"
"4774","15.7",2020-11-21,"1.28","61","12.13","60-69","4869","null"
"2403","7.9",2020-11-21,"6.66","160","31.81","70-79","4868","null"
"1307","4.3",2020-11-21,"19.36","253","50.30","80 이상","4867","null"
"16021","52.7",2020-11-21,"1.49","239","47.51","여성","4866","null"
